table_name,field_name,data_type,description,used_for,limitations
users,user_id,string,Уникальный идентификатор пользователя,Связь таблиц и пользовательская карточка,В демонстрации синтетический идентификатор.
users,registration_date,date,Дата регистрации пользователя,Когорта регистрации и путь до активации,Не равна дате первой поездки.
users,first_trip_date,date,Дата первой завершенной поездки,Когорта активации и горизонт LTV,Для неактивированных пользователей поле пустое.
users,acquisition_channel,category,Источник первичного привлечения,Срезы LTV и сравнение каналов,В MVP укрупненная классификация.
users,activation_type,category,Тип первой активации,Интерпретация качества старта пользователя,В боевой версии должен вычисляться по реальным событиям.
users,acquisition_cost,float,Стоимость привлечения пользователя,LTV/CAC и окупаемость,В демонстрации задана синтетически.
users,promo_dependency_score,float,Оценка зависимости от промо,Сегментация и интерпретация маржинальности,В будущем лучше считать модельно.
trips,trip_id,string,Уникальный идентификатор заказа,Детализация поездок и связь с маркетингом,Один заказ = одна запись.
trips,order_status,category,Статус заказа,Фильтрация completed/cancelled,В MVP без подробной событийной ленты.
trips,gmv,float,Валовая стоимость поездки,Оборот и валовая экономическая база,Не равен выручке платформы.
trips,platform_revenue,float,Доход платформы до скидок и переменных затрат,Расчет маржи,В демонстрации задан через упрощенную ставку комиссии.
trips,promo_discount,float,Скидка пользователю,Оценка промо-зависимости и маржи,В боевой версии нужен источник скидки и тип субсидии.
trips,driver_bonus,float,Субсидия или бонус водителю,Contribution margin,В MVP показан укрупненно.
trips,variable_ops_cost,float,Переменные операционные затраты,Contribution margin,"Включают процессинг, страхование и часть поддержки."
trips,refund_amount,float,Возврат пользователю,Корректировка фактической ценности поездки,Может относиться к поездке с лагом.
trips,contribution_margin,float,Маржинальный вклад поездки,Базовая денежная сущность LTV,В MVP без распределения фиксированных расходов.
marketing_touches,touch_id,string,Уникальный идентификатор маркетингового касания,Анализ коммуникаций,В боевой системе нужны реальные идентификаторы событий.
marketing_touches,touch_channel,category,Канал коммуникации,Срезы response и реактивации,Классификация укрупнена.
marketing_touches,campaign_type,category,Тип кампании,Интерпретация роли касания,Нужна единая кампания-иерархия.
marketing_touches,converted_within_7d_flag,bool,Флаг поездки в течение 7 дней после касания,Демонстрация response-подхода,Это не причинный эффект.
campaigns,conversion_rate_7d,float,Доля касаний с поездкой в течение 7 дней,Пилотная оценка отклика,Не заменяет uplift и A/B-анализ.
